yr,school_name,conf_abbr,wins,losses,ties,win_loss_pct,wins_conf,losses_conf,ties_conf,win_loss_pct_conf,points_per_g,opp_points_per_g,confname
1893,Lafayette,Ind,2,6,0,0.25,0,0,0,0,3,23.3,Ind
1893,Massachusetts,Ind,1,9,0,0.1,0,0,0,0,6.4,23.6,Ind
1893,Trinity (CT),Ind,0,9,2,0.091,0,0,0,0,7,17.6,Ind
1894,Pennsylvania,Ind,12,0,0,1,0,0,0,0,30.5,1.7,Ind
1894,Yale,Ind,16,0,0,1,0,0,0,0,30.3,0.8,Ind
1894,Harvard,Ind,11,2,0,0.846,0,0,0,0,25.7,3.5,Ind
1894,Michigan,Ind,9,1,1,0.864,0,0,0,0,22.2,7.6,Ind
1894,Princeton,Ind,8,2,0,0.8,0,0,0,0,20.8,4.4,Ind
1894,Purdue,Ind,8,1,0,0.889,0,0,0,0,20.2,4,Ind
1894,Minnesota,Ind,3,1,0,0.75,0,0,0,0,18.5,2,Ind
1894,Wisconsin,Ind,5,2,0,0.714,0,0,0,0,21.7,3.7,Ind
1894,Army,Ind,3,2,0,0.6,0,0,0,0,19,4.4,Ind
1894,Beloit,Ind,5,3,0,0.625,0,0,0,0,15.8,16.4,Ind
1894,Brown,Ind,10,5,0,0.667,0,0,0,0,17.5,6.8,Ind
1894,Chicago,Ind,14,7,1,0.659,0,0,0,0,18.4,6.1,Ind
1894,Williams,Ind,6,3,1,0.65,0,0,0,0,11.2,7.5,Ind
1894,Amherst,Ind,7,5,1,0.577,0,0,0,0,8.5,9.7,Ind
1894,Cornell,Ind,6,4,1,0.591,0,0,0,0,15.8,5.3,Ind
1894,Dartmouth,Ind,5,4,0,0.556,0,0,0,0,12.4,8.9,Ind
1894,Illinois,Ind,4,3,0,0.571,0,0,0,0,26,9.4,Ind
1894,Massachusetts,Ind,3,3,0,0.5,0,0,0,0,7.3,11.7,Ind
1894,Trinity (CT),Ind,4,3,0,0.571,0,0,0,0,6.3,9.7,Ind
1894,Tufts,Ind,6,5,0,0.545,0,0,0,0,7.3,13.9,Ind
1894,Lafayette,Ind,5,6,0,0.455,0,0,0,0,17.3,17.4,Ind
1894,Lake Forest,Ind,3,4,0,0.429,0,0,0,0,16.6,19.1,Ind
1894,Northwestern,Ind,4,5,0,0.444,0,0,0,0,8,25.3,Ind
1894,Union (NY),Ind,3,4,0,0.429,0,0,0,0,8.3,15.3,Ind
1894,Lehigh,Ind,5,9,0,0.357,0,0,0,0,8.6,17.3,Ind
1894,MIT,Ind,2,5,0,0.286,0,0,0,0,4.9,12,Ind
1894,Wesleyan (CT),Ind,0,5,0,0,0,0,0,0,2,21.6,Ind
1895,Pennsylvania,Ind,14,0,0,1,0,0,0,0,34.3,1.7,Ind
1895,Yale,Ind,13,0,2,0.933,0,0,0,0,21.1,2.5,Ind
